old_id,new_id,status,old_name,new_name,brand_old_id,brand_new_id,category
93,968,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,43,43,FRAME
94,969,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,16,222,FRAME
95,95,EXISTING,ARMAÇÃO VOGUE,ARMAÇÃO VOGUE,39,39,FRAME
96,970,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,30,30,FRAME
97,97,EXISTING,ARMAÇÃO NYLON FL,ARMAÇÃO NYLON FL,9,9,FRAME
98,98,EXISTING,ARMAÇÃO PIERRE CARDIN,ARMAÇÃO PIERRE CARDIN,9,9,FRAME
100,971,CREATED,ARMAÇÃO ACETATO,ARMAÇÃO ACETATO,6,6,FRAME
101,972,CREATED,ARMAÇÃO Z FORA DE LINHA,ARMAÇÃO Z FORA DE LINHA,8,8,FRAME
102,102,EXISTING,ARMAÇÃO MAXLINE,ARMAÇÃO MAXLINE,8,8,FRAME
103,103,EXISTING,ARMAÇÃO LUCIANA GIMENES,ARMAÇÃO LUCIANA GIMENES,29,29,FRAME
104,973,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,29,29,FRAME
107,974,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,36,36,FRAME
108,108,EXISTING,ARMAÇÃO COPACABANA,ARMAÇÃO COPACABANA,26,26,FRAME
109,975,CREATED,LENTE ARGOS 1.60 AR BC,LENTE ARGOS 1.60 AR BC,51,51,LENS
111,111,EXISTING,ARMAÇÃO JEAN MONIER,ARMAÇÃO JEAN MONIER,2,2,FRAME
112,112,EXISTING,LENTE VS1.49 ACABADA AR,LENTE VS1.49 ACABADA AR,83,83,LENS
113,887,EXISTING,LENTE VS1.53 SENSITY AR NR/BC,LENTE VS1.53 SENSITY AR NR/BC,51,51,LENS
114,976,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,82,82,FRAME
120,120,EXISTING,COLOLAÇÃO CINZA DEGRADE,COLOLAÇÃO CINZA DEGRADE,84,84,ACCESSORY
121,977,CREATED,LENTE BIF. ULTEX TRANS IV,LENTE BIF. ULTEX TRANS IV,60,60,LENS
122,934,EXISTING,ARMAÇÃO JEAN PIERRE,ARMAÇÃO JEAN PIERRE,3,334,FRAME
123,123,EXISTING,LENTE VS1.50 TRANSIT C2,LENTE VS1.50 TRANSIT C2,51,51,LENS
125,125,EXISTING,LENTE VS1.49 ACABADA INC,LENTE VS1.49 ACABADA INC,64,64,LENS
126,978,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,25,25,FRAME
127,979,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,6,6,FRAME
128,980,CREATED,LENTE BIF. ULTEX INC,LENTE BIF. ULTEX INC,60,60,LENS
129,981,CREATED,LENTE BIF. BIOVIS INC,LENTE BIF. BIOVIS INC,60,60,LENS
130,982,CREATED,LENTE BIF. BIOVIS TRANT II,LENTE BIF. BIOVIS TRANT II,60,60,LENS
131,983,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,72,72,FRAME
132,132,EXISTING,LENTE VS1.50 ACABADA AR C-4,LENTE VS1.50 ACABADA AR C-4,60,60,LENS
133,133,EXISTING,ARMAÇÃO BERINE,ARMAÇÃO BERINE,82,82,FRAME
134,134,EXISTING,LENTE VS1.50 INC,LENTE VS1.50 INC,60,60,LENS
135,135,EXISTING,ARMAÇÃO KEYPER,ARMAÇÃO KEYPER,40,40,FRAME
136,136,EXISTING,LENTE VS1.49 CRIZAL C-2,LENTE VS1.49 CRIZAL C-2,60,60,LENS
137,137,EXISTING,ARMAÇÃO LAVORATO,ARMAÇÃO LAVORATO,12,12,FRAME
138,138,EXISTING,ARMAÇÃO SIGNUS,ARMAÇÃO SIGNUS,85,85,FRAME
140,984,CREATED,ARMAÇÃO Z FORA DE LINHA,ARMAÇÃO Z FORA DE LINHA,39,39,FRAME
141,141,EXISTING,LENTE VS1.59 INC,LENTE VS1.59 INC,60,60,LENS
142,985,CREATED,SOLAR Z FORA DE LINHA,SOLAR Z FORA DE LINHA,29,29,FRAME
143,143,EXISTING,LENTE P 1.50 ESPACE PLUS AR,LENTE P 1.50 ESPACE PLUS AR,60,60,LENS
144,986,CREATED,ARMAÇÃO ACETATO,ARMAÇÃO ACETATO,25,25,FRAME
145,145,EXISTING,COLORAÇÃO CINZA SUAVE,COLORAÇÃO CINZA SUAVE,84,84,ACCESSORY
146,146,EXISTING,COLOLAÇÃO CINZA,COLOLAÇÃO CINZA,84,84,ACCESSORY
147,987,CREATED,COLORAÇÃO MORRON ESCURO,COLORAÇÃO MORRON ESCURO,1,335,ACCESSORY
148,148,EXISTING,LENTE VS1.50 SENSITY AR CE,LENTE VS1.50 SENSITY AR CE,51,51,LENS
149,988,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,76,76,FRAME
150,989,CREATED,LENTE PR1.50 ARGOS TANSIT AR CE,LENTE PR1.50 ARGOS TANSIT AR CE,51,51,LENS
151,990,CREATED,ARMAÇÃO Z FORA DE LINHA,ARMAÇÃO Z FORA DE LINHA,3,334,FRAME
152,152,EXISTING,LENTE VS1.50 TRANSIT VII,LENTE VS1.50 TRANSIT VII,51,51,LENS
153,153,EXISTING,LENTE VS1.49 TRANSIT,LENTE VS1.49 TRANSIT,60,60,LENS
154,154,EXISTING,LENTE VS1.59 AR,LENTE VS1.59 AR,83,83,LENS
155,155,EXISTING,LENTE VS1.49 TRANST,LENTE VS1.49 TRANST,83,83,LENS
156,991,CREATED,LENTE VS1.49 ACABADA INC,LENTE VS1.49 ACABADA INC,83,83,LENS
157,992,CREATED,LENTE BIF. ULTEX TRANS VII,LENTE BIF. ULTEX TRANS VII,60,60,LENS
158,993,CREATED,LENTE BF BIOVIS INC,LENTE BF BIOVIS INC,60,60,LENS
159,159,EXISTING,OCULOS SOLAR LOUGGE,OCULOS SOLAR LOUGGE,33,33,FRAME
160,994,CREATED,LENTE P NOLINE INC,LENTE P NOLINE INC,79,79,LENS
161,161,EXISTING,LENTE P NOLINE FOTO,LENTE P NOLINE FOTO,79,79,LENS
162,995,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,86,86,FRAME
163,894,EXISTING,ARMAÇÃO FOX,ARMAÇÃO FOX,10,10,FRAME
164,164,EXISTING,ARMAÇÃO POPULAR NYLON,ARMAÇÃO POPULAR NYLON,87,87,FRAME
165,996,CREATED,ARMAÇÃO ACETATO,ARMAÇÃO ACETATO,87,87,FRAME
166,166,EXISTING,ARMAÇÃO METAL,ARMAÇÃO METAL,87,87,FRAME
167,167,EXISTING,LENTE VS1.59 ACABADA INC C-2,LENTE VS1.59 ACABADA INC C-2,88,88,LENS
168,,PENDING,SOLDA,SOLDA,1,,
169,,PENDING,TROCA DE PLAQUETA,TROCA DE PLAQUETA,1,,
170,,PENDING,COLOCAÇAO DE PARAFUSOS,COLOCAÇAO DE PARAFUSOS,1,,
171,,PENDING,TROCA DE NYLON,TROCA DE NYLON,1,,
172,172,EXISTING,LENTE VS1.59 AR C-4,LENTE VS1.59 AR C-4,88,88,LENS
173,173,EXISTING,LENTE VS1.67 AR C3,LENTE VS1.67 AR C3,51,51,LENS
174,174,EXISTING,LENTE VS1.67 INC.,LENTE VS1.67 INC.,83,83,LENS
175,175,EXISTING,LENTE VS1.67 INC,LENTE VS1.67 INC,60,60,LENS
176,176,EXISTING,LENTE VS1.59 SURF / AR -10+6C-4,LENTE VS1.59 SURF / AR -10+6C-4,51,51,LENS
177,177,EXISTING,LENTE VS1.50 FOTO FUSION,LENTE VS1.50 FOTO FUSION,83,83,LENS
178,178,EXISTING,LENTE VS1.50 FOTO FUSION AR C-4,LENTE VS1.50 FOTO FUSION AR C-4,88,88,LENS
179,997,CREATED,LENTE VS1.49 ACABADA AR,LENTE VS1.49 ACABADA AR,88,88,LENS
180,998,CREATED,LENTE PR HAYTEK 1.50 ACAB AR,LENTE PR HAYTEK 1.50 ACAB AR,88,88,LENS
182,999,CREATED,LENTE P 1.50 ACABADA / AR,LENTE P 1.50 ACABADA / AR,89,89,LENS
183,183,EXISTING,LENTE VS1.50 ACABADA AR C-2,LENTE VS1.50 ACABADA AR C-2,89,89,LENS
184,184,EXISTING,ARMAÇÃO GRAZI,ARMAÇÃO GRAZI,38,38,FRAME
185,1000,CREATED,ARMAÇÃO ACETATO,ARMAÇÃO ACETATO,38,38,FRAME
187,187,EXISTING,LENTE P HOYALUX18WPTX1.53/T,LENTE P HOYALUX18WPTX1.53/T,51,51,LENS
188,188,EXISTING,LENTE P VIP TRANS/AR,LENTE P VIP TRANS/AR,64,64,LENS
189,189,EXISTING,LENTE P GT21.67/AR-PLATINUM,LENTE P GT21.67/AR-PLATINUM,63,63,LENS
190,1001,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,90,90,FRAME
191,1002,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,37,37,FRAME
192,1003,CREATED,SOLAR Z FORA DE LINHA,SOLAR Z FORA DE LINHA,33,33,FRAME
193,952,EXISTING,SOLAR Z FORA DE LINHA,SOLAR Z FORA DE LINHA,76,76,FRAME
195,1004,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,93,93,FRAME
196,1005,CREATED,ARMAÇÃO ACETATO,ARMAÇÃO ACETATO,94,94,FRAME
