brandId,name,reason
313,151,"merged → brand ""ROMANO"" (id:151)"
314,150,"merged → brand ""CARMEN VITTI"" (id:150)"
316,7,"merged → brand ""BURGUESE"" (id:7)"
317,153,"merged → brand ""DIST DIGITAL"" (id:153)"
318,154,"merged → brand ""ECKO UNLTD"" (id:154)"
319,155,"merged → brand ""VERTZ"" (id:155)"
320,156,"merged → brand ""DIST 2A OPTICOS"" (id:156)"
321,157,"merged → brand ""POWER"" (id:157)"
322,158,"merged → brand ""TOP CLUB"" (id:158)"
323,159,"merged → brand ""PRÓPIA"" (id:159)"
324,160,"merged → brand ""DIST LOHAN"" (id:160)"
325,161,"merged → brand ""LOHAN DIST"" (id:161)"
326,162,"merged → brand ""SERVIOPTICA DIST"" (id:162)"
327,163,"merged → brand ""CRISTOVAM DIST"" (id:163)"
328,164,"merged → brand ""DEBORAH SECCO"" (id:164)"
