recFinanceiro,recAtendimento,recParcelas,recDesconto,recJuros
255,10166,1,0,0
256,10099,1,0,0
257,10066,1,0,0
258,10113,1,0,0
259,10146,1,0,0
260,10157,1,0,0
261,10048,1,0,0
262,10126,1,0,0
263,10073,1,0,0
264,10167,1,0,0
265,10168,1,0,0
266,10168,1,0,0
267,10168,1,0,0
268,10168,1,0,0
269,10168,1,0,0
270,10153,1,0,0
271,10169,6,0,0
272,10171,1,"430,00",0
273,10172,5,"150,00",0
274,10173,1,0,0
275,10174,1,0,0
276,10175,1,0,0
277,10096,1,0,0
278,10132,1,0,0
279,10061,1,0,0
321,10170,1,0,0
322,10165,1,0,0
323,10125,1,0,0
324,10155,1,0,0
327,10176,1,0,0
328,10177,6,"80,00",0
332,10178,4,"270,00",0
333,10179,1,"100,00",0
334,10181,1,0,0
335,10160,1,0,0
336,10182,1,0,0
337,10183,5,"152,00",0
338,10185,1,"40,00",0
339,10186,3,0,0
343,10187,5,0,0
344,10166,1,0,0
345,10046,1,0,0
346,10119,1,0,0
347,10162,1,0,0
348,10126,1,0,0
349,10174,1,0,0
350,10139,1,0,0
351,10066,1,0,0
352,10101,1,0,0
353,10113,1,0,0
354,10164,1,0,0
355,10170,1,0,0
356,10073,1,0,0
359,10085,1,0,0
360,10146,1,0,0
361,10099,1,0,0
363,10047,1,0,0
364,10161,1,0,0
365,10158,1,0,0
366,10184,1,0,0
367,10152,1,0,0
369,10191,1,"320,00",0
370,10192,6,"460,00",0
371,10193,1,"70,00",0
372,10194,6,"430,00",0
373,10195,1,"370,00",0
375,10090,1,0,0
376,10090,1,0,0
377,10180,1,0,0
378,10196,6,"620,00",0
380,10155,1,0,0
381,10187,1,0,0
382,10197,4,0,0
384,10134,1,0,0
385,10134,1,0,0
386,10165,1,0,0
387,10136,1,0,0
388,10136,1,0,0
389,10198,1,0,0
390,10199,1,0,0
391,10201,1,0,0
392,10202,1,0,0
393,10203,1,"360,00",0
396,10162,1,0,0
397,10190,1,0,0
398,10028,1,0,"10,00"
399,10125,1,0,0
400,10204,1,0,0
402,10076,1,0,0
403,10205,1,0,0
404,10199,1,0,0
406,10028,1,0,"20,00"
407,10100,1,0,0
408,10100,1,0,0
409,10206,2,0,0
410,10189,1,0,0
411,10207,3,0,0
412,10209,3,"240,00",0
414,10139,1,0,0
415,10126,1,0,0
416,10119,1,0,0
419,10211,1,0,0
420,10212,6,0,0
421,10166,1,0,0
422,10166,1,0,0
423,10066,1,0,0
424,10046,1,0,0
425,10085,1,0,0
426,10160,1,0,0
427,10160,1,0,0
429,10146,1,0,0
430,10073,1,0,0
431,10215,1,0,0
432,10153,1,0,0
433,10153,1,0,0
434,10216,1,0,0
435,10113,1,0,0
436,10064,1,0,0
437,10064,1,0,0
438,10166,1,0,0
440,10218,1,0,0
441,10219,1,0,0
442,10164,1,0,0
443,10170,1,0,0
444,10161,1,0,0
445,10152,1,0,0
446,10220,6,"324,00",0
447,10175,1,0,0
448,10221,1,0,0
449,10202,1,0,0
452,10187,1,0,0
453,10180,1,0,0
454,10132,1,0,0
456,10189,1,0,0
457,10060,1,0,0
458,10060,1,0,0
459,10225,1,"110,00",0
460,10226,3,"310,00",0
462,10127,1,0,0
466,10227,6,"192,00",0
469,10213,1,0,0
470,10162,1,0,0
471,10190,1,0,0
472,10199,1,0,0
473,10090,1,0,0
474,10217,1,"524,00",0
475,10228,1,"310,00",0
476,10155,1,0,0
477,10222,1,0,0
478,10213,1,0,0
479,10230,1,0,0
481,10232,1,"170,00",0
482,10229,1,"340,00",0
483,10051,1,0,0
485,10233,1,0,0
486,10233,1,0,0
487,10233,1,0,0
488,10233,1,0,0
489,10233,1,0,0
490,10200,1,0,0
491,10170,1,0,0
492,10208,1,0,0
493,10119,1,0,0
494,10211,1,0,0
495,10152,1,0,0
499,10166,1,0,0
500,10064,1,0,0
501,10205,1,0,0
503,10231,1,0,0
504,10126,1,0,0
505,10223,1,0,0
506,10158,1,0,0
507,10158,1,0,0
508,10187,1,0,0
509,10234,1,0,0
510,10146,1,0,0
511,10075,1,0,0
516,10142,1,0,0
517,10142,1,0,0
518,10125,1,0,"3,00"
519,10221,1,0,0
520,10073,1,0,0
521,10099,1,0,0
522,10122,1,0,0
524,10240,1,0,0
525,10241,1,0,0
526,10184,1,0,0
527,10180,1,0,0
528,10242,1,0,0
529,10236,1,0,0
530,10246,5,"380,00",0
531,10247,6,"110,00",0
532,10248,1,0,0
536,10235,1,0,0
537,10238,1,"410,00",0
538,10239,5,"310,00",0
539,10243,1,0,0
540,10244,1,0,0
541,10250,1,0,0
542,10189,1,0,0
543,10062,1,0,0
544,10100,1,0,0
545,10253,1,"190,00",0
550,10114,1,0,0
551,10114,1,0,0
552,10210,1,0,0
553,10182,1,0,0
554,10182,1,0,0
555,10182,1,0,0
556,10205,1,0,0
557,10162,1,0,0
558,10190,1,0,0
562,10255,4,"30,00",0
563,10251,1,"100,00",0
564,10230,1,0,0
565,10101,1,0,0
566,10165,1,0,0
567,10201,1,0,0
569,10094,1,0,0
571,10201,1,0,0
572,10222,1,0,0
573,10235,1,0,0
574,10211,1,0,0
575,10208,1,0,0
576,10170,1,0,0
578,10256,3,0,0
579,10236,1,0,0
580,10248,1,0,0
581,10223,1,0,0
582,10237,1,0,0
583,10119,1,0,0
584,10257,1,0,0
585,10257,1,0,0
591,10234,1,0,0
592,10234,1,0,0
593,10234,1,0,0
594,10234,1,0,0
595,10213,1,0,0
596,10244,1,0,0
597,10187,1,0,0
598,10231,1,0,0
599,10155,1,0,0
600,10161,1,0,0
601,10214,1,0,0
603,10257,6,"5,00",0
604,10258,6,0,0
605,10259,1,0,0
606,10260,3,"90,00",0
607,10262,5,"210,00",0
608,10263,1,0,0
609,10266,5,"210,00",0
610,10267,5,"60,00",0
611,10268,1,"150,00",0
617,10189,1,0,0
618,10214,1,0,0
619,10214,1,0,0
620,10230,1,0,0
621,10242,1,0,0
622,10240,1,0,0
623,10241,1,0,0
624,10180,1,0,0
625,10250,1,0,0
626,10091,1,0,"5,00"
627,10091,1,0,"5,00"
628,10153,1,0,0
629,10245,1,0,0
630,10269,6,"150,00",0
631,10270,1,0,0
632,10271,6,"95,00",0
633,10272,1,"260,00",0
634,10273,1,0,0
635,10273,1,0,0
636,10162,1,0,0
637,10190,1,0,0
638,10277,4,"90,00",0
639,10278,1,"40,00",0
640,10279,6,"522,00",0
641,10249,1,0,0
642,10276,1,0,0
643,10261,1,0,0
644,10222,1,0,0
645,10155,1,0,0
646,10201,1,0,0
647,10243,1,0,0
651,10205,1,0,0
652,10270,1,0,0
653,10213,1,0,0
654,10275,6,"35,00",0
655,10280,1,0,0
656,10283,5,"260,00",0
657,10285,1,0,0
658,10286,4,0,0
659,10211,1,0,0
660,10170,1,0,0
661,10134,1,0,0
662,10281,1,0,0
663,10119,1,0,0
664,10265,1,0,0
665,10208,1,0,0
666,10236,1,0,0
667,10223,1,0,0
668,10235,1,0,0
669,10242,1,0,0
670,10231,1,0,0
671,10248,1,0,0
672,10244,1,0,0
682,10252,1,0,0
683,10252,1,0,0
684,10252,1,0,0
685,10241,1,0,0
686,10240,1,0,0
