[2026-09-22T20:19:52.969Z] Iniciando migration 04-sale | DRY_RUN=true
[2026-09-22T20:20:00.904Z] INCONSISTÊNCIA FINANCEIRA venda=10139 calculado=1160.00 ateTotal=1015.00
[2026-09-22T20:20:00.974Z] INCONSISTÊNCIA FINANCEIRA venda=10140 calculado=870.00 ateTotal=750.00
[2026-09-22T20:20:01.043Z] INCONSISTÊNCIA FINANCEIRA venda=10141 calculado=980.00 ateTotal=770.00
[2026-09-22T20:20:01.111Z] INCONSISTÊNCIA FINANCEIRA venda=10142 calculado=790.00 ateTotal=750.00
[2026-09-22T20:20:01.197Z] INCONSISTÊNCIA FINANCEIRA venda=10143 calculado=700.00 ateTotal=600.00
[2026-09-22T20:20:01.414Z] INCONSISTÊNCIA FINANCEIRA venda=10146 calculado=1300.00 ateTotal=900.00
[2026-09-22T20:20:01.555Z] INCONSISTÊNCIA FINANCEIRA venda=10148 calculado=520.00 ateTotal=390.00
[2026-09-22T20:20:01.630Z] INCONSISTÊNCIA FINANCEIRA venda=10149 calculado=1000.00 ateTotal=795.00
[2026-09-22T20:20:01.705Z] INCONSISTÊNCIA FINANCEIRA venda=10150 calculado=1860.00 ateTotal=1200.00
[2026-09-22T20:20:01.778Z] INCONSISTÊNCIA FINANCEIRA venda=10151 calculado=1520.00 ateTotal=1500.00
[2026-09-22T20:20:01.850Z] INCONSISTÊNCIA FINANCEIRA venda=10152 calculado=910.00 ateTotal=840.00
[2026-09-22T20:20:01.923Z] INCONSISTÊNCIA FINANCEIRA venda=10153 calculado=680.00 ateTotal=590.00
[2026-09-22T20:20:01.994Z] INCONSISTÊNCIA FINANCEIRA venda=10154 calculado=970.00 ateTotal=700.00
[2026-09-22T20:20:02.063Z] INCONSISTÊNCIA FINANCEIRA venda=10155 calculado=750.00 ateTotal=700.00
[2026-09-22T20:20:02.137Z] INCONSISTÊNCIA FINANCEIRA venda=10157 calculado=1680.00 ateTotal=1150.00
[2026-09-22T20:20:02.209Z] INCONSISTÊNCIA FINANCEIRA venda=10158 calculado=780.00 ateTotal=750.00
[2026-09-22T20:20:02.280Z] INCONSISTÊNCIA FINANCEIRA venda=10159 calculado=1140.00 ateTotal=960.00
[2026-09-22T20:20:02.351Z] INCONSISTÊNCIA FINANCEIRA venda=10160 calculado=3772.00 ateTotal=2200.00
[2026-09-22T20:20:02.417Z] INCONSISTÊNCIA FINANCEIRA venda=10161 calculado=1140.00 ateTotal=960.00
[2026-09-22T20:20:02.486Z] INCONSISTÊNCIA FINANCEIRA venda=10162 calculado=810.00 ateTotal=550.00
[2026-09-22T20:20:02.554Z] INCONSISTÊNCIA FINANCEIRA venda=10163 calculado=790.00 ateTotal=675.00
[2026-09-22T20:20:02.631Z] INCONSISTÊNCIA FINANCEIRA venda=10164 calculado=810.00 ateTotal=500.00
[2026-09-22T20:20:02.697Z] INCONSISTÊNCIA FINANCEIRA venda=10165 calculado=1678.00 ateTotal=1290.00
