prodId,prodNome,prodMarca,prodPrecoCompra,prodPrecoVenda,prodPercentual,prodQtd,prodTipo
314,VARILUX LIBERTY ORMA CRIZAL EASY PRO,81,"900,00","1800,00",100,10,PRODUTO
315,LENTE P VARILUX LIB TAN/INC,81,"777,00","1554,00",100,4,PRODUTO
316,LENTE VS1.59 ACABADA AR,60,"240,00","480,00",100,4,PRODUTO
317,ARMAÇÃO SEGURANÇA,96,"175,00","350,00",100,6,PRODUTO
318,OCULOS SOLAR DETROIT,37,"225,00","450,00",100,0,PRODUTO
319,LENTE VS1.53 ACABADA AR -6+3C-2,51,"200,00","400,00",100,4,PRODUTO
320,LENTE VS1.53 ACABADA TRANSIT AR C-2,51,"326,00","652,00",100,4,PRODUTO
321,LENTE VS1.53 ACABADA AR +6-6C-2,51,"240,00","480,00",100,5,PRODUTO
322,LENTE VS1.53 ACABADA INC C-2,51,"125,00","250,00",100,3,PRODUTO
323,LENTE VS1.53 ACABADA TRANSIT C-2,51,"225,00","450,00",100,4,PRODUTO
324,ARMAÇÃO Z FORA DE LINHA,40,"180,00","360,00",100,0,PRODUTO
325,"LENTE P SOLAMAX1,67 E-12+8C-4/INC",64,"700,00","1400,00",100,2,PRODUTO
326,ARMAÇÃO METAL,82,"160,00","320,00",100,4,PRODUTO
327,LENTE PR GRAND VIEW1.5 TRANSITIONS,60,"750,00","1500,00",100,13,PRODUTO
328,LENTE PR GRAND VIEW1.5 AR,60,"450,00","900,00",100,12,PRODUTO
329,LENTE GRAND VIEW 1.50 INC,60,"380,00","760,00",100,15,PRODUTO
330,LENTE PR GRAND VIEW1.5 TRANSITIOS AR,60,"950,00","1900,00",100,15,PRODUTO
331,LENTE P 1.53 GRAND VIEW / AR,60,"510,00","1020,00",100,3,PRODUTO
332,LENTE P 1.53 GRAND VIEW / INC,60,"420,00","840,00",100,4,PRODUTO
333,LENTE P 1.53 GRAND VIEW / TRANT,60,"1050,00","2100,00",100,3,PRODUTO
334,LENTE P 1.53 GRAND VIEW TRANT / AR,60,"1140,00","2280,00",100,7,PRODUTO
335,ARMAÇÃO HAGNUS,22,"150,00","300,00",100,0,PRODUTO
336,ARMAÇÃO Z FORA DE LINHA,3,"185,00","370,00",100,1,PRODUTO
337,LENTE VS1.59 AR C-2,88,"190,00","380,00",100,3,PRODUTO
338,OCULOS SOLAR PAOLA PIOVANI,74,"140,00","280,00",100,0,PRODUTO
339,LENTE VS1.53 SURF AR +8-10C4,51,"260,00","520,00",100,3,PRODUTO
340,OCULOS DE LEITURA,97,"35,00","70,00",100,13,PRODUTO
341,LENTE VS1.50 TRANT AR,63,"375,00","750,00",100,2,PRODUTO
342,ATUALIZAR PRODUTO1,104,0,0,0,0,PRODUTO
343,ARMAÇÃO METAL,4,"190,00","380,00",100,1,PRODUTO
345,VARILUX COMFORT MAX ORMA BLUE UV TGEN8 CRZ EASY PRO,60,"1800,00","3600,00",100,9,PRODUTO
346,LENTE AMPLUS 1.50 AR CE,51,"400,00","800,00",100,13,PRODUTO
347,LENTE VS1.49 TRANS C4,83,"300,00","600,00",100,4,PRODUTO
348,LENTE VS1.49 TRANSIT C4,51,"325,00","650,00",100,2,PRODUTO
349,ARMAÇÃO DIOCULOS,24,"170,00","340,00",100,2,PRODUTO
350,LENTE P 1.50 ESPACE/TRANT III,60,"300,00","600,00",100,13,PRODUTO
351,LENTE P 1.50 ESPACE/TRANS III,60,"300,00","600,00",100,9,PRODUTO
352,LENTE VS1.49 ACABADA AR C-2,60,"200,00","400,00",100,6,PRODUTO
353,LENTE VS1.56 ACABADA AR C-4,60,"250,00","500,00",100,2,PRODUTO
354,LENTE AMPLUS 1.53 INCOLOR,51,"260,00","520,00",100,17,PRODUTO
355,LENTE AMPLUS 1.50 SENSITY AR,51,"1100,00","2200,00",100,14,PRODUTO
356,LENTE VS1.59 SURF TRANT AR A. I.,60,"700,00","1400,00",100,2,PRODUTO
357,LENTE VS1.67 TRANSIT AR,60,"780,00","1560,00",100,6,PRODUTO
358,LENTE VS1.67 TRANSIT / AR,51,"780,00","1560,00",100,3,PRODUTO
359,ARMAÇÃO KEEPER,99,"200,00","400,00",100,1,PRODUTO
