[2026-09-22T19:39:49.166Z] Iniciando migration 04-sale | DRY_RUN=true
[2026-09-22T19:40:05.510Z] INCONSISTÊNCIA FINANCEIRA venda=10261 calculado=2270.00 ateTotal=1100.00
[2026-09-22T19:40:05.579Z] INCONSISTÊNCIA FINANCEIRA venda=10262 calculado=760.00 ateTotal=550.00
[2026-09-22T19:40:05.652Z] INCONSISTÊNCIA FINANCEIRA venda=10263 calculado=690.00 ateTotal=450.00
[2026-09-22T19:40:05.722Z] INCONSISTÊNCIA FINANCEIRA venda=10264 calculado=1190.00 ateTotal=1155.00
[2026-09-22T19:40:05.793Z] INCONSISTÊNCIA FINANCEIRA venda=10265 calculado=1310.00 ateTotal=924.00
[2026-09-22T19:40:05.861Z] INCONSISTÊNCIA FINANCEIRA venda=10266 calculado=910.00 ateTotal=700.00
[2026-09-22T19:40:05.927Z] INCONSISTÊNCIA FINANCEIRA venda=10267 calculado=760.00 ateTotal=700.00
[2026-09-22T19:40:06.004Z] INCONSISTÊNCIA FINANCEIRA venda=10268 calculado=600.00 ateTotal=450.00
[2026-09-22T19:40:06.083Z] INCONSISTÊNCIA FINANCEIRA venda=10269 calculado=810.00 ateTotal=660.00
[2026-09-22T19:40:06.156Z] INCONSISTÊNCIA FINANCEIRA venda=10270 calculado=1370.00 ateTotal=1340.00
[2026-09-22T19:40:06.223Z] INCONSISTÊNCIA FINANCEIRA venda=10271 calculado=940.00 ateTotal=845.00
[2026-09-22T19:40:06.305Z] INCONSISTÊNCIA FINANCEIRA venda=10272 calculado=760.00 ateTotal=500.00
[2026-09-22T19:40:06.374Z] INCONSISTÊNCIA FINANCEIRA venda=10273 calculado=1322.00 ateTotal=1110.00
[2026-09-22T19:40:06.442Z] INCONSISTÊNCIA FINANCEIRA venda=10274 calculado=1250.00 ateTotal=1200.00
[2026-09-22T19:40:06.512Z] INCONSISTÊNCIA FINANCEIRA venda=10275 calculado=2330.00 ateTotal=2295.00
[2026-09-22T19:40:06.580Z] INCONSISTÊNCIA FINANCEIRA venda=10276 calculado=960.00 ateTotal=900.00
[2026-09-22T19:40:06.650Z] INCONSISTÊNCIA FINANCEIRA venda=10277 calculado=360.00 ateTotal=270.00
[2026-09-22T19:40:06.720Z] INCONSISTÊNCIA FINANCEIRA venda=10278 calculado=290.00 ateTotal=250.00
[2026-09-22T19:40:06.789Z] INCONSISTÊNCIA FINANCEIRA venda=10279 calculado=1822.00 ateTotal=1300.00
[2026-09-22T19:40:06.858Z] INCONSISTÊNCIA FINANCEIRA venda=10280 calculado=1190.00 ateTotal=1170.00
[2026-09-22T19:40:06.930Z] INCONSISTÊNCIA FINANCEIRA venda=10281 calculado=1010.00 ateTotal=500.00
[2026-09-22T19:40:07.006Z] INCONSISTÊNCIA FINANCEIRA venda=10283 calculado=760.00 ateTotal=500.00
[2026-09-22T19:40:07.081Z] INCONSISTÊNCIA FINANCEIRA venda=10284 calculado=830.00 ateTotal=810.00
