[2026-09-18T18:22:33.242Z] Iniciando migration 04-sale | DRY_RUN=true
[2026-09-18T18:22:40.499Z] INCONSISTÊNCIA FINANCEIRA venda=10125 calculado=421.40 ateTotal=1685.00
[2026-09-18T18:22:40.572Z] INCONSISTÊNCIA FINANCEIRA venda=10126 calculado=1160.00 ateTotal=980.00
[2026-09-18T18:22:40.639Z] INCONSISTÊNCIA FINANCEIRA venda=10127 calculado=860.00 ateTotal=840.00
[2026-09-18T18:22:40.857Z] INCONSISTÊNCIA FINANCEIRA venda=10130 calculado=371.70 ateTotal=1925.00
[2026-09-18T18:22:40.996Z] INCONSISTÊNCIA FINANCEIRA venda=10132 calculado=892.00 ateTotal=850.00
[2026-09-18T18:22:41.071Z] INCONSISTÊNCIA FINANCEIRA venda=10134 calculado=760.00 ateTotal=500.00
[2026-09-18T18:22:41.210Z] INCONSISTÊNCIA FINANCEIRA venda=10136 calculado=-278.40 ateTotal=1320.00
[2026-09-18T18:22:41.211Z] INCONSISTÊNCIA NOS ITENS venda=10136 calculado=-278.40 itemTotalGeral=1.32
[2026-09-18T18:22:41.362Z] INCONSISTÊNCIA FINANCEIRA venda=10138 calculado=982.00 ateTotal=900.00
[2026-09-18T18:22:41.431Z] INCONSISTÊNCIA FINANCEIRA venda=10139 calculado=1160.00 ateTotal=1015.00
[2026-09-18T18:22:41.499Z] INCONSISTÊNCIA FINANCEIRA venda=10140 calculado=870.00 ateTotal=750.00
[2026-09-18T18:22:41.573Z] INCONSISTÊNCIA FINANCEIRA venda=10141 calculado=980.00 ateTotal=770.00
[2026-09-18T18:22:41.645Z] INCONSISTÊNCIA FINANCEIRA venda=10142 calculado=790.00 ateTotal=750.00
[2026-09-18T18:22:41.714Z] INCONSISTÊNCIA FINANCEIRA venda=10143 calculado=700.00 ateTotal=600.00
[2026-09-18T18:22:41.931Z] INCONSISTÊNCIA FINANCEIRA venda=10146 calculado=1300.00 ateTotal=900.00
[2026-09-18T18:22:42.074Z] INCONSISTÊNCIA FINANCEIRA venda=10148 calculado=520.00 ateTotal=390.00
[2026-09-18T18:22:42.145Z] INCONSISTÊNCIA FINANCEIRA venda=10149 calculado=1000.00 ateTotal=795.00
[2026-09-18T18:22:42.220Z] INCONSISTÊNCIA FINANCEIRA venda=10150 calculado=361.50 ateTotal=1200.00
[2026-09-18T18:22:42.290Z] INCONSISTÊNCIA FINANCEIRA venda=10151 calculado=421.10 ateTotal=1500.00
[2026-09-18T18:22:42.360Z] INCONSISTÊNCIA FINANCEIRA venda=10152 calculado=910.00 ateTotal=840.00
[2026-09-18T18:22:42.432Z] INCONSISTÊNCIA FINANCEIRA venda=10153 calculado=680.00 ateTotal=590.00
[2026-09-18T18:22:42.504Z] INCONSISTÊNCIA FINANCEIRA venda=10154 calculado=970.00 ateTotal=700.00
[2026-09-18T18:22:42.577Z] INCONSISTÊNCIA FINANCEIRA venda=10155 calculado=750.00 ateTotal=700.00
[2026-09-18T18:22:42.648Z] INCONSISTÊNCIA FINANCEIRA venda=10157 calculado=1680.00 ateTotal=1150.00
[2026-09-18T18:22:42.717Z] INCONSISTÊNCIA FINANCEIRA venda=10158 calculado=780.00 ateTotal=750.00
[2026-09-18T18:22:42.791Z] INCONSISTÊNCIA FINANCEIRA venda=10159 calculado=1140.00 ateTotal=960.00
[2026-09-18T18:22:42.863Z] INCONSISTÊNCIA FINANCEIRA venda=10160 calculado=323.45 ateTotal=2200.00
[2026-09-18T18:22:42.934Z] INCONSISTÊNCIA FINANCEIRA venda=10161 calculado=1140.00 ateTotal=960.00
[2026-09-18T18:22:43.005Z] INCONSISTÊNCIA FINANCEIRA venda=10162 calculado=810.00 ateTotal=550.00
[2026-09-18T18:22:43.082Z] INCONSISTÊNCIA FINANCEIRA venda=10163 calculado=790.00 ateTotal=675.00
[2026-09-18T18:22:43.155Z] INCONSISTÊNCIA FINANCEIRA venda=10164 calculado=810.00 ateTotal=500.00
[2026-09-18T18:22:43.233Z] INCONSISTÊNCIA FINANCEIRA venda=10165 calculado=1678.00 ateTotal=1290.00
[2026-09-18T18:22:43.375Z] INCONSISTÊNCIA FINANCEIRA venda=10167 calculado=1740.00 ateTotal=1500.00
[2026-09-18T18:22:43.445Z] INCONSISTÊNCIA FINANCEIRA venda=10168 calculado=900.00 ateTotal=675.00
[2026-09-18T18:22:43.586Z] INCONSISTÊNCIA FINANCEIRA venda=10170 calculado=1200.00 ateTotal=900.00
[2026-09-18T18:22:43.656Z] INCONSISTÊNCIA FINANCEIRA venda=10171 calculado=840.00 ateTotal=410.00
[2026-09-18T18:22:43.728Z] INCONSISTÊNCIA FINANCEIRA venda=10172 calculado=750.00 ateTotal=600.00
[2026-09-18T18:22:44.009Z] INCONSISTÊNCIA FINANCEIRA venda=10178 calculado=1160.00 ateTotal=890.00
[2026-09-18T18:22:44.081Z] INCONSISTÊNCIA FINANCEIRA venda=10179 calculado=400.00 ateTotal=300.00
[2026-09-18T18:22:44.150Z] INCONSISTÊNCIA FINANCEIRA venda=10180 calculado=377.51 ateTotal=1800.00
[2026-09-18T18:22:44.287Z] INCONSISTÊNCIA FINANCEIRA venda=10182 calculado=620.00 ateTotal=600.00
[2026-09-18T18:22:44.358Z] INCONSISTÊNCIA FINANCEIRA venda=10183 calculado=1152.00 ateTotal=1000.00
[2026-09-18T18:22:44.426Z] INCONSISTÊNCIA FINANCEIRA venda=10184 calculado=780.00 ateTotal=690.00
[2026-09-18T18:22:44.497Z] INCONSISTÊNCIA FINANCEIRA venda=10185 calculado=240.00 ateTotal=200.00
