prodId,name,reason
193,SOLAR Z FORA DE LINHA,já existe
195,ARMAÇÃO NYLON,já existe
196,ARMAÇÃO ACETATO,já existe
198,ARMAÇÃO NYLON,já existe
199,SALDO DEVEDOR 2014,já existe
200,LENTE VS HAYTEK1.56 AR,já existe
201,LENTE HOYA VS1.50 AR CE,já existe
202,RENEGOCIAÇÃO,já existe
203,ARMAÇÃO DETROIT,já existe
204,ARMAÇÃO NYLON,já existe
205,ARMAÇÃO NYLON,já existe
206,JEAN MONIER SOLAR,já existe
207,ARMAÇÃO NYLON,já existe
208,ARMAÇÃO NYLON,já existe
209,LENTE VS1.50 TRANSIT AR C4,já existe
210,LENTE VS1.50 TRANSIT AR,já existe
211,ARMAÇÃO DA VINCI,já existe
212,LENTE VS1.49 TRANST AR,já existe
213,ARMAÇÃO INTELECTUM,já existe
214,LENTE P HOYALUX18WP1.67T,já existe
215,LENTE P HOYALUX18WP1.67T/AR,já existe
216,LENTE P HOYALUX WIDE BKS 1.67 SENSITY,já existe
217,LENTE HOYALUX WIDE BKS 1.53 TRANSIT AR,já existe
218,LENTE P HOYALUX18WP1.5/I,já existe
219,LENTE PROG. HOYALUX18P1.5/AR,já existe
220,LENTE P HOYALUX18WP1.5/T,já existe
221,LENTE P HOYALUX18WP1.5T/AR,já existe
222,LENTE P HOYALUX18WPTX1.53/I,já existe
223,LENTE P HOYALUX18WPTX1.53/AR,já existe
224,LENTE P HOYALUX18WP1.53TX/T,já existe
225,LENTE P HOYALUX18WP1.53TX T/AR,já existe
226,LENTE P HOYALUX18WP1.67 INC,já existe
227,LENTE P HOYALUX18WP1.67/AR,já existe
228,LENTE HOYALUX14S1.5,já existe
229,LENTE HOYALUX WIDE BKS 1.50 INC,já existe
230,LENTE HOYALUX14S1.5/AR,já existe
232,LENTE HOYALUX WIDE BKS PRO 1.50 SENSITY AR CX,já existe
234,LENTE HOYALUX WIDE BKS 1.53 TVX INC,já existe
235,LENTE HOYALUX WIDE BKS 1.53 SENSITY,já existe
236,LENTE HOYALUX WIDE BKS 1.53 SENSITY AR,já existe
237,LENTE P HOYALUX WIDE BKS 1.67 INC,já existe
238,LENTE PR1.67 HOYALUX WIDE BKS AR,já existe
239,LENTE P HOYALUX18W1.5 /I,já existe
240,LENTE P HOYALUX WIDE VXT 1.67 SENSITY,já existe
241,LENTE P HOYALUX18W1.5 / T,já existe
242,LENTE P HOYALUX18W1.5 T/AR,já existe
243,LENTE P HOYALUX18WTX1.53/I,já existe
244,LENTE P HOYALUX18WTX1.53/AR,já existe
245,LENTE P HOYALUX18WTX1.53/T,já existe
246,LENTE P HOYALUX18WTX1.53 T/AR,já existe
247,LENTE PR1.53 ARGOS INC.,já existe
248,LENTE PR1.53 ARGOS AR,já existe
249,LENTE PR1.53 ARGOS TRANSIT,já existe
250,LENTE PR1.53 ARGOS TRANSIT AR,já existe
251,LENTE PR1.59 ARGOS INC.,já existe
252,LENTE ARGOS 1.59 AR NR BC,já existe
253,LENTE ARGOS 1.60 INC.,já existe
254,LENTE ARGOS 1.60 AR CX,já existe
